Timestamp,Preferred App,Respondent ID,Scores,Total Score,,,,,,,,,,,
2025/04/15 10:21:12 AM AST,Waze,A,"[2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]",22,22,,,,,,,,,,
2025/04/15 10:22:53 AM AST,Apple Maps,B,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 1, 0, 1, 1]",9,9,,,,,,,,,,
2025/04/15 10:23:48 AM AST,Google Maps,C,"[2, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 2, 1, 2, 2]",19,19,,,Google Maps,Apple Maps,Waze,,,Not dependent,0 to 10,2
2025/04/15 10:24:09 AM AST,Google Maps,D,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 2, 1, 0, 2, 1]",9,9,,,6,6,3,,,Slightly dependent,11 to 20,10
2025/04/15 10:24:17 AM AST,Apple Maps,E,"[0, 1, 2, 1, 2, 2, 0, 0, 0, 2, 2, 0, 1, 1, 0]",14,14,,,,,,,,Dependent,21 to 30,3
2025/04/15 10:25:55 AM AST,Google Maps,F,"[1, 1, 2, 2, 2, 0, 0, 0, 1, 2, 1, 1, 1, 2, 1]",17,17,,,,,,,,,,
2025/04/15 10:26:01 AM AST,Apple Maps,G,"[2, 1, 2, 2, 2, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2]",24,24,,,,,,,,,,
2025/04/15 10:26:10 AM AST,Apple Maps,H,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 0, 2, 2]",19,19,,,,,,,,,,
2025/04/15 10:26:40 AM AST,Waze,I,"[1, 1, 1, 1, 2, 1, 0, 0, 0, 2, 2, 1, 1, 2, 0]",15,15,,,,,,,,,,
2025/04/15 10:27:06 AM AST,Google Maps,J,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 2, 2, 1, 0, 1, 1]",11,11,,,,,,,,,,
2025/04/15 10:27:38 AM AST,Apple Maps,K,"[2, 1, 1, 2, 2, 0, 1, 1, 2, 1, 0, 2, 0, 2, 2]",19,19,,,,,,,,,,
2025/04/15 10:27:48 AM AST,Waze,L,"[1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 0, 2, 1]",18,18,,,,,,,,,,
2025/04/15 10:28:30 AM AST,Apple Maps,M,"[2, 1, 0, 2, 1, 1, 2, 1, 2, 2, 1, 2, 2, 1, 1]",21,21,,,,,,,,,,
2025/04/15 10:31:57 AM AST,Google Maps,N,"[1, 1, 0, 0, 2, 1, 0, 0, 0, 2, 2, 1, 0, 2, 1]",13,13,,,,,,,,,,
2025/04/15 11:08:21 AM AST,Google Maps,O,"[1, 0, 2, 1, 0, 0, 1, 0, 2, 2, 2, 1, 0, 2, 1]",15,15,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Avg,16.33333333,,,,,,,,,,
,,,,Waze,18.33333333,,,,,,,,,,
,,,,Apple,17.66666667,,,,,,,,,,
,,,,Google,14,,,,,,,,,,
,,,,Both,15.83333333,,,,,,,,,,
